s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 7.2953076E+000, 3.4862986E+007,-5.9874132E+006, 4.5517812E+005,-3.6690506E+004, 3.7791137E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7239221E+007, 2.9294438E+007, 4.5000127E+003, 4.5000127E+003
 7.3217397E+000, 3.5211343E+007,-7.4638323E+006, 4.3989239E+005,-3.6620337E+004, 3.8045636E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9081052E+007, 2.8151164E+007, 4.5000129E+003, 4.5000129E+003
 7.3481722E+000, 3.5896783E+007,-9.3592237E+006, 4.2339933E+005,-3.6896754E+004, 3.7589680E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7954052E+007, 2.6924438E+007, 4.5000131E+003, 4.5000131E+003
 7.3746047E+000, 3.6590236E+007,-6.6085782E+006, 4.6975002E+005,-3.7265409E+004, 3.7328571E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6736016E+007, 3.0414516E+007, 4.5000133E+003, 4.5000133E+003
 7.4010367E+000, 3.6810110E+007,-7.2337999E+006, 4.6454464E+005,-3.7048959E+004, 3.7801292E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0195055E+007, 3.0004184E+007, 4.5000135E+003, 4.5000135E+003
 7.4274693E+000, 3.7342856E+007,-8.6853047E+006, 4.5261247E+005,-3.7238451E+004, 3.7965667E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9796009E+007, 2.9073305E+007, 4.5000137E+003, 4.5000137E+003
 7.4539013E+000, 3.7990915E+007,-7.1995648E+006, 4.8132733E+005,-3.7552700E+004, 3.8267752E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8874883E+007, 3.1235508E+007, 4.5000138E+003, 4.5000138E+003
 7.4803338E+000, 3.8030233E+007,-7.8542138E+006, 4.7366722E+005,-3.7615894E+004, 3.8221199E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1012834E+007, 3.0612453E+007, 4.5000140E+003, 4.5000140E+003
 7.5067658E+000, 3.8199120E+007,-8.1748134E+006, 4.7157586E+005,-3.7837320E+004, 3.8406685E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0404698E+007, 3.0458429E+007, 4.5000141E+003, 4.5000141E+003
 7.5297647E+000, 3.8655497E+007,-7.6386502E+006, 4.8567947E+005,-3.8004859E+004, 3.8490666E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0248719E+007, 3.1464906E+007, 4.5000143E+003, 4.5000143E+003
 7.5527630E+000, 3.8704400E+007,-7.8374073E+006, 4.8481899E+005,-3.8161087E+004, 3.8203492E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1251351E+007, 3.1314033E+007, 4.5000144E+003, 4.5000144E+003
 7.5757618E+000, 3.9112137E+007,-9.9216438E+006, 4.6195777E+005,-3.8214297E+004, 3.9276823E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1107232E+007, 2.9614629E+007, 4.5000145E+003, 4.5000145E+003
 7.5987601E+000, 3.9522661E+007,-7.9858301E+006, 4.9467153E+005,-3.8603587E+004, 3.8265616E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9407986E+007, 3.1993282E+007, 4.5000146E+003, 4.5000146E+003
 7.6217589E+000, 3.9396503E+007,-6.6080373E+006, 5.1222784E+005,-3.8487317E+004, 3.8892083E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1768905E+007, 3.3262595E+007, 4.5000147E+003, 4.5000147E+003
 7.6447573E+000, 3.9725982E+007,-9.3609696E+006, 4.7997218E+005,-3.8357994E+004, 4.0060807E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3029352E+007, 3.0807028E+007, 4.5000148E+003, 4.5000148E+003
 7.6677561E+000, 4.0359711E+007,-8.5635733E+006, 5.0052561E+005,-3.8813213E+004, 3.9083721E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0592752E+007, 3.2258241E+007, 4.5000149E+003, 4.5000149E+003
 7.6907544E+000, 4.0567902E+007,-7.4104337E+006, 5.1871831E+005,-3.8843477E+004, 3.9339898E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2038520E+007, 3.3637736E+007, 4.5000150E+003, 4.5000150E+003
 7.7137527E+000, 4.0706507E+007,-9.6169615E+006, 4.9177290E+005,-3.8752474E+004, 3.9791426E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3400386E+007, 3.1542964E+007, 4.5000151E+003, 4.5000151E+003
 7.7367516E+000, 4.1402784E+007,-8.2194759E+006, 5.2001221E+005,-3.9004858E+004, 4.0580852E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1326739E+007, 3.3664721E+007, 4.5000152E+003, 4.5000152E+003
 7.7597499E+000, 4.1520721E+007,-7.2936641E+006, 5.3508271E+005,-3.9030133E+004, 3.9681775E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3426067E+007, 3.4723506E+007, 4.5000152E+003, 4.5000152E+003
 7.7827487E+000, 4.1603506E+007,-9.2807588E+006, 5.1007329E+005,-3.8928690E+004, 4.0892614E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4485639E+007, 3.2794301E+007, 4.5000153E+003, 4.5000153E+003
 7.8027396E+000, 4.2702825E+007,-7.4681263E+006, 5.5088028E+005,-3.9369339E+004, 3.9903539E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2566617E+007, 3.5746609E+007, 4.5000154E+003, 4.5000154E+003
 7.8227310E+000, 4.2683257E+007,-7.6451694E+006, 5.4918047E+005,-3.9156456E+004, 4.0822449E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5513823E+007, 3.5548520E+007, 4.5000154E+003, 4.5000154E+003
 7.8427219E+000, 4.3048783E+007,-9.4036749E+006, 5.3041731E+005,-3.9168920E+004, 4.1851639E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5312621E+007, 3.4136775E+007, 4.5000155E+003, 4.5000155E+003
 7.8627129E+000, 4.3883963E+007,-7.5017271E+006, 5.6864307E+005,-3.9619974E+004, 4.0403271E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3899936E+007, 3.6911663E+007, 4.5000155E+003, 4.5000155E+003
 7.8827043E+000, 4.4339705E+007,-9.5518752E+006, 5.4843091E+005,-3.9454649E+004, 4.0874719E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6666607E+007, 3.5297214E+007, 4.5000156E+003, 4.5000156E+003
 7.9026952E+000, 4.4613888E+007,-9.0083850E+006, 5.5945612E+005,-3.9693453E+004, 4.1431788E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5070258E+007, 3.6125680E+007, 4.5000156E+003, 4.5000156E+003
 7.9226861E+000, 4.4939427E+007,-6.9886041E+006, 5.9221105E+005,-3.9689902E+004, 4.2051537E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5876125E+007, 3.8503764E+007, 4.5000157E+003, 4.5000157E+003
 7.9426775E+000, 4.5699654E+007,-1.0353582E+007, 5.5895359E+005,-3.9636759E+004, 4.1920307E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8240952E+007, 3.5865809E+007, 4.5000157E+003, 4.5000157E+003
 7.9626684E+000, 4.6083683E+007,-9.6686064E+006, 5.7250716E+005,-4.0090700E+004, 4.1844889E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5644887E+007, 3.6947912E+007, 4.5000158E+003, 4.5000158E+003
 7.9826593E+000, 4.6676440E+007,-7.9922147E+006, 6.0512090E+005,-4.0199718E+004, 4.1515752E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6691218E+007, 3.9249562E+007, 4.5000158E+003, 4.5000158E+003
 8.0026503E+000, 4.7216325E+007,-9.6774309E+006, 5.8986578E+005,-3.9985709E+004, 4.3213990E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8993458E+007, 3.8089206E+007, 4.5000159E+003, 4.5000159E+003
 8.0226421E+000, 4.7561895E+007,-9.8308598E+006, 5.9282817E+005,-4.0404633E+004, 4.1749724E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7842127E+007, 3.8283876E+007, 4.5000159E+003, 4.5000159E+003
 8.0426331E+000, 4.8178067E+007,-8.4250094E+006, 6.2156476E+005,-4.0527582E+004, 4.2446880E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8028998E+007, 4.0334520E+007, 4.5000159E+003, 4.5000159E+003
 8.0626240E+000, 4.8406326E+007,-8.8435520E+006, 6.1943678E+005,-4.0449457E+004, 4.3095498E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0073654E+007, 4.0142192E+007, 4.5000160E+003, 4.5000160E+003
 8.0826149E+000, 4.8743004E+007,-1.0198086E+007, 6.0659734E+005,-4.0674805E+004, 4.2717666E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9883898E+007, 3.9111268E+007, 4.5000160E+003, 4.5000160E+003
 8.1026058E+000, 4.9222108E+007,-8.7797387E+006, 6.3242486E+005,-4.0863538E+004, 4.3861162E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8862466E+007, 4.1034369E+007, 4.5000160E+003, 4.5000160E+003
 8.1225977E+000, 4.9134583E+007,-8.9363030E+006, 6.3018521E+005,-4.1005067E+004, 4.2575167E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0767092E+007, 4.0787886E+007, 4.5000161E+003, 4.5000161E+003
 8.1425886E+000, 4.9273370E+007,-1.0970473E+007, 6.0555667E+005,-4.1116593E+004, 4.3288586E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0526339E+007, 3.8867770E+007, 4.5000161E+003, 4.5000161E+003
 8.1625795E+000, 4.9286047E+007,-7.4955587E+006, 6.5287631E+005,-4.1432030E+004, 4.3820687E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8617814E+007, 4.2402370E+007, 4.5000161E+003, 4.5000161E+003
 8.1825705E+000, 4.9312188E+007,-8.8809285E+006, 6.3613043E+005,-4.1288068E+004, 4.4066887E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2116725E+007, 4.1026542E+007, 4.5000162E+003, 4.5000162E+003
 8.2025614E+000, 4.9611426E+007,-1.1110963E+007, 6.1092694E+005,-4.1573491E+004, 4.4116311E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0762103E+007, 3.9070257E+007, 4.5000162E+003, 4.5000162E+003
 8.2225523E+000, 4.9737318E+007,-7.0996833E+006, 6.6730483E+005,-4.2032760E+004, 4.3506756E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8816842E+007, 4.3263342E+007, 4.5000162E+003, 4.5000162E+003
 8.2425442E+000, 5.0057868E+007,-9.5417991E+006, 6.3988865E+005,-4.1728178E+004, 4.4909201E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2970350E+007, 4.1114678E+007, 4.5000162E+003, 4.5000162E+003
 8.2597532E+000, 5.0420275E+007,-1.0027321E+007, 6.3905433E+005,-4.2234603E+004, 4.3213002E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0854640E+007, 4.0990206E+007, 4.5000163E+003, 4.5000163E+003
 8.2769623E+000, 5.0614321E+007,-7.1092491E+006, 6.8175346E+005,-4.2285073E+004, 4.4451805E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0729779E+007, 4.4144985E+007, 4.5000163E+003, 4.5000163E+003
